category,species,slug,taxon_id,observation_id,observation_uuid,photo_id,source_url,photo_license,photo_attribution,sha256,byte_size,width,height,provenance_source,origin_dataset,origin_csv_sha256,origin_row_number,origin_photo_id,origin_observation_uuid,origin_sha256,source_taxon_id,source_taxon_name,source_taxon_rank,image_source,candidate_source_url,enriched_source_url
out_of_scope_ant,Camponotus obscuripes,camponotus-obscuripes,354345,n/a_fresh_row,64d89f26-8108-453e-972b-bf9aa6a0fc3f,679672042,local_copy_verified:data/calibration_v1,cc-by-nc,"(c) Masaki Hamaguchi, some rights reserved (CC BY-NC)",07efa1fcbc77d516884b0fb5394298519aac860d2bd49006ab13e3a318943802,187697,500,334,calibration_v1_reuse,calibration_v1,83a80351f8ac65e89ea6124ac7de6d2cb6a3c68efc1f33eb3ecc2eca8c5f63c0,257,679672042,64d89f26-8108-453e-972b-bf9aa6a0fc3f,07efa1fcbc77d516884b0fb5394298519aac860d2bd49006ab13e3a318943802,354345,Camponotus obscuripes,not_recorded_in_source,calibration_v1_reuse,local_copy_verified:data/calibration_v1,https://inaturalist-open-data.s3.amazonaws.com/photos/679672042/square.jpg
out_of_scope_ant,Myrmecia fulvipes,myrmecia-fulvipes,486223,n/a_fresh_row,3895e7d7-8c90-4156-917b-d6e6e89f4ca2,679743610,local_copy_verified:data/calibration_v1,cc-by-nc,"(c) Tom Schneider, some rights reserved (CC BY-NC)",b60f0f78e81b47c1e4bdbe5c84ed87f48c432fe922da75a2e49dea3d1c07e7ef,245675,490,500,calibration_v1_reuse,calibration_v1,83a80351f8ac65e89ea6124ac7de6d2cb6a3c68efc1f33eb3ecc2eca8c5f63c0,259,679743610,3895e7d7-8c90-4156-917b-d6e6e89f4ca2,b60f0f78e81b47c1e4bdbe5c84ed87f48c432fe922da75a2e49dea3d1c07e7ef,486223,Myrmecia fulvipes,not_recorded_in_source,calibration_v1_reuse,local_copy_verified:data/calibration_v1,https://inaturalist-open-data.s3.amazonaws.com/photos/679743610/square.jpg
out_of_scope_ant,Crematogaster rogenhoferi,crematogaster-rogenhoferi,733431,n/a_fresh_row,2b7da79c-c34a-41d1-97b7-4eb5de240680,679796311,local_copy_verified:data/calibration_v1,cc-by-nc,"(c) Nitin Mahamuni, some rights reserved (CC BY-NC)",97754d1e3477facda1d4a06d937fd6d996ffc230e5b9ddf69a53ab4047b7f783,136863,333,500,calibration_v1_reuse,calibration_v1,83a80351f8ac65e89ea6124ac7de6d2cb6a3c68efc1f33eb3ecc2eca8c5f63c0,260,679796311,2b7da79c-c34a-41d1-97b7-4eb5de240680,97754d1e3477facda1d4a06d937fd6d996ffc230e5b9ddf69a53ab4047b7f783,733431,Crematogaster rogenhoferi,not_recorded_in_source,calibration_v1_reuse,local_copy_verified:data/calibration_v1,https://inaturalist-open-data.s3.amazonaws.com/photos/679796311/square.jpg
out_of_scope_ant,Leptomyrmex cnemidatus,leptomyrmex-cnemidatus,704244,n/a_fresh_row,d638bc71-4eda-41b5-ae66-39f4fdaa6037,679807736,local_copy_verified:data/calibration_v1,cc-by-nc,"(c) Caleb, some rights reserved (CC BY-NC)",51d963573da8100dfbec5b6f35364b8a014db1906f569efdb2fbc31f036d9278,284644,375,500,calibration_v1_reuse,calibration_v1,83a80351f8ac65e89ea6124ac7de6d2cb6a3c68efc1f33eb3ecc2eca8c5f63c0,261,679807736,d638bc71-4eda-41b5-ae66-39f4fdaa6037,51d963573da8100dfbec5b6f35364b8a014db1906f569efdb2fbc31f036d9278,704244,Leptomyrmex cnemidatus,not_recorded_in_source,calibration_v1_reuse,local_copy_verified:data/calibration_v1,https://inaturalist-open-data.s3.amazonaws.com/photos/679807736/square.jpg
out_of_scope_ant,Myrmecia desertorum,myrmecia-desertorum,633426,n/a_fresh_row,8747a5af-4f3c-4efe-a36e-3fb9f4c68757,679837554,local_copy_verified:data/calibration_v1,cc-by-sa,"(c) James K. Douch, some rights reserved (CC BY-SA)",ad5b3e788d94ae8f55c808c9d531b5531f76f7c1690d4e94cd284b0035e97b02,334501,500,500,calibration_v1_reuse,calibration_v1,83a80351f8ac65e89ea6124ac7de6d2cb6a3c68efc1f33eb3ecc2eca8c5f63c0,262,679837554,8747a5af-4f3c-4efe-a36e-3fb9f4c68757,ad5b3e788d94ae8f55c808c9d531b5531f76f7c1690d4e94cd284b0035e97b02,633426,Myrmecia desertorum,not_recorded_in_source,calibration_v1_reuse,local_copy_verified:data/calibration_v1,https://inaturalist-open-data.s3.amazonaws.com/photos/679837554/square.jpg
out_of_scope_ant,Camponotus habereri,camponotus-habereri,706552,n/a_fresh_row,c6976116-54ce-4068-9e1a-a9485b5e4821,679863799,local_copy_verified:data/calibration_v1,cc-by,"(c) 林正文, some rights reserved (CC BY)",b04ebeeec0c35e12a25bded067c87b8e85adcba782685877d4184aa633308f14,73421,500,333,calibration_v1_reuse,calibration_v1,83a80351f8ac65e89ea6124ac7de6d2cb6a3c68efc1f33eb3ecc2eca8c5f63c0,263,679863799,c6976116-54ce-4068-9e1a-a9485b5e4821,b04ebeeec0c35e12a25bded067c87b8e85adcba782685877d4184aa633308f14,706552,Camponotus habereri,not_recorded_in_source,calibration_v1_reuse,local_copy_verified:data/calibration_v1,https://inaturalist-open-data.s3.amazonaws.com/photos/679863799/square.jpg
out_of_scope_ant,Camponotus parius,camponotus-parius,367827,n/a_fresh_row,0c55df41-013e-4abb-a2b3-b492f4c1a32c,679878331,local_copy_verified:data/calibration_v1,cc-by-nc,"(c) Hari, some rights reserved (CC BY-NC)",4d3235c6b463032d8bba416e902362cd4b59a424aa12256df3e0c19275b54655,171360,375,500,calibration_v1_reuse,calibration_v1,83a80351f8ac65e89ea6124ac7de6d2cb6a3c68efc1f33eb3ecc2eca8c5f63c0,264,679878331,0c55df41-013e-4abb-a2b3-b492f4c1a32c,4d3235c6b463032d8bba416e902362cd4b59a424aa12256df3e0c19275b54655,367827,Camponotus parius,not_recorded_in_source,calibration_v1_reuse,local_copy_verified:data/calibration_v1,https://inaturalist-open-data.s3.amazonaws.com/photos/679878331/square.jpg
out_of_scope_ant,Formica japonica,formica-japonica,322421,n/a_fresh_row,eb7a3e31-127f-47b8-ab98-445290ef6020,679893106,local_copy_verified:data/calibration_v1,cc-by-nc,"(c) tama_king_fisher, some rights reserved (CC BY-NC)",7dae4179e2596712df8730a203df39f2cc394c72ed8b6be636d76d166a98f7b1,154307,375,500,calibration_v1_reuse,calibration_v1,83a80351f8ac65e89ea6124ac7de6d2cb6a3c68efc1f33eb3ecc2eca8c5f63c0,265,679893106,eb7a3e31-127f-47b8-ab98-445290ef6020,7dae4179e2596712df8730a203df39f2cc394c72ed8b6be636d76d166a98f7b1,322421,Formica japonica,not_recorded_in_source,calibration_v1_reuse,local_copy_verified:data/calibration_v1,https://inaturalist-open-data.s3.amazonaws.com/photos/679893106/square.jpg
out_of_scope_ant,Camponotus japonicus,camponotus-japonicus,321673,n/a_fresh_row,2fc9f062-1bfd-4473-9e42-8eff47fbb4f7,679895134,local_copy_verified:data/calibration_v1,cc-by-nc,"(c) tama_king_fisher, some rights reserved (CC BY-NC)",ceb32b6c475160b97379f44991812c542018944ff6d2b43ae72859adac7d0eaa,103258,500,427,calibration_v1_reuse,calibration_v1,83a80351f8ac65e89ea6124ac7de6d2cb6a3c68efc1f33eb3ecc2eca8c5f63c0,266,679895134,2fc9f062-1bfd-4473-9e42-8eff47fbb4f7,ceb32b6c475160b97379f44991812c542018944ff6d2b43ae72859adac7d0eaa,321673,Camponotus japonicus,not_recorded_in_source,calibration_v1_reuse,local_copy_verified:data/calibration_v1,https://inaturalist-open-data.s3.amazonaws.com/photos/679895134/square.jpg
out_of_scope_ant,Camponotus consobrinus,camponotus-consobrinus,201978,n/a_fresh_row,2e11a29d-3ed7-41e3-9629-2dcc2a3c0951,679918901,local_copy_verified:data/calibration_v1,cc-by-nc,"(c) Graham Armstrong, some rights reserved (CC BY-NC)",6f84878ea2d5071d46f24abf4e9157766c077300d83f5dc0a7f7634f167c4352,197650,500,339,calibration_v1_reuse,calibration_v1,83a80351f8ac65e89ea6124ac7de6d2cb6a3c68efc1f33eb3ecc2eca8c5f63c0,267,679918901,2e11a29d-3ed7-41e3-9629-2dcc2a3c0951,6f84878ea2d5071d46f24abf4e9157766c077300d83f5dc0a7f7634f167c4352,201978,Camponotus consobrinus,not_recorded_in_source,calibration_v1_reuse,local_copy_verified:data/calibration_v1,https://inaturalist-open-data.s3.amazonaws.com/photos/679918901/square.jpg
