category,intended_dataset,selection_status,species,slug,taxon_id,observation_id,observation_uuid,photo_id,source_url,sha256,created_at,photo_license,photo_attribution,lat,lon,provenance_source,origin_dataset,origin_csv_sha256,origin_row_number,origin_photo_id,origin_observation_uuid,origin_sha256,reuse_eligibility_reason,rejection_reason,source_taxon_id,source_taxon_name,source_taxon_rank
out_of_scope_ant,calibration_v2,reused,Camponotus obscuripes,camponotus-obscuripes,354345,,64d89f26-8108-453e-972b-bf9aa6a0fc3f,679672042,https://inaturalist-open-data.s3.amazonaws.com/photos/679672042/square.jpg,07efa1fcbc77d516884b0fb5394298519aac860d2bd49006ab13e3a318943802,2026-06-16T00:00:21+09:00,cc-by-nc,"(c) Masaki Hamaguchi, some rights reserved (CC BY-NC)",43.1654607438,141.2302941797,calibration_v1_reuse,calibration_v1,83a80351f8ac65e89ea6124ac7de6d2cb6a3c68efc1f33eb3ecc2eca8c5f63c0,257,679672042,64d89f26-8108-453e-972b-bf9aa6a0fc3f,07efa1fcbc77d516884b0fb5394298519aac860d2bd49006ab13e3a318943802,verified_by_sha256,,354345,Camponotus obscuripes,
out_of_scope_ant,calibration_v2,ineligible,Tetramorium tsushimae,tetramorium-tsushimae,319451,,bad193fd-6984-4879-b3cd-d48448925671,679667302,https://static.inaturalist.org/photos/679667302/square.jpg,2e57d137bf0f4da1f61bf622250f88fdc50767cef6bedcb243bce904f9999893,2026-06-16T02:01:52+09:00,,"(c) Miyrumiyru, all rights reserved",37.97602,127.2740801667,calibration_v1_reuse,calibration_v1,83a80351f8ac65e89ea6124ac7de6d2cb6a3c68efc1f33eb3ecc2eca8c5f63c0,258,679667302,bad193fd-6984-4879-b3cd-d48448925671,2e57d137bf0f4da1f61bf622250f88fdc50767cef6bedcb243bce904f9999893,,license_blank,319451,Tetramorium tsushimae,
out_of_scope_ant,calibration_v2,reused,Myrmecia fulvipes,myrmecia-fulvipes,486223,,3895e7d7-8c90-4156-917b-d6e6e89f4ca2,679743610,https://inaturalist-open-data.s3.amazonaws.com/photos/679743610/square.jpg,b60f0f78e81b47c1e4bdbe5c84ed87f48c432fe922da75a2e49dea3d1c07e7ef,2026-06-16T03:05:53+10:00,cc-by-nc,"(c) Tom Schneider, some rights reserved (CC BY-NC)",-35.2770550997,149.0984245997,calibration_v1_reuse,calibration_v1,83a80351f8ac65e89ea6124ac7de6d2cb6a3c68efc1f33eb3ecc2eca8c5f63c0,259,679743610,3895e7d7-8c90-4156-917b-d6e6e89f4ca2,b60f0f78e81b47c1e4bdbe5c84ed87f48c432fe922da75a2e49dea3d1c07e7ef,verified_by_sha256,,486223,Myrmecia fulvipes,
out_of_scope_ant,calibration_v2,reused,Crematogaster rogenhoferi,crematogaster-rogenhoferi,733431,,2b7da79c-c34a-41d1-97b7-4eb5de240680,679796311,https://inaturalist-open-data.s3.amazonaws.com/photos/679796311/square.jpg,97754d1e3477facda1d4a06d937fd6d996ffc230e5b9ddf69a53ab4047b7f783,2026-06-16T00:02:45+05:30,cc-by-nc,"(c) Nitin Mahamuni, some rights reserved (CC BY-NC)",18.4465176103,73.4286274016,calibration_v1_reuse,calibration_v1,83a80351f8ac65e89ea6124ac7de6d2cb6a3c68efc1f33eb3ecc2eca8c5f63c0,260,679796311,2b7da79c-c34a-41d1-97b7-4eb5de240680,97754d1e3477facda1d4a06d937fd6d996ffc230e5b9ddf69a53ab4047b7f783,verified_by_sha256,,733431,Crematogaster rogenhoferi,
out_of_scope_ant,calibration_v2,reused,Leptomyrmex cnemidatus,leptomyrmex-cnemidatus,704244,,d638bc71-4eda-41b5-ae66-39f4fdaa6037,679807736,https://inaturalist-open-data.s3.amazonaws.com/photos/679807736/square.jpg,51d963573da8100dfbec5b6f35364b8a014db1906f569efdb2fbc31f036d9278,2026-06-16T04:51:15+10:00,cc-by-nc,"(c) Caleb, some rights reserved (CC BY-NC)",-33.728275,150.3744666667,calibration_v1_reuse,calibration_v1,83a80351f8ac65e89ea6124ac7de6d2cb6a3c68efc1f33eb3ecc2eca8c5f63c0,261,679807736,d638bc71-4eda-41b5-ae66-39f4fdaa6037,51d963573da8100dfbec5b6f35364b8a014db1906f569efdb2fbc31f036d9278,verified_by_sha256,,704244,Leptomyrmex cnemidatus,
out_of_scope_ant,calibration_v2,reused,Myrmecia desertorum,myrmecia-desertorum,633426,,8747a5af-4f3c-4efe-a36e-3fb9f4c68757,679837554,https://inaturalist-open-data.s3.amazonaws.com/photos/679837554/square.jpg,ad5b3e788d94ae8f55c808c9d531b5531f76f7c1690d4e94cd284b0035e97b02,2026-06-16T05:10:49+09:30,cc-by-sa,"(c) James K. Douch, some rights reserved (CC BY-SA)",-31.9582966667,141.4399116667,calibration_v1_reuse,calibration_v1,83a80351f8ac65e89ea6124ac7de6d2cb6a3c68efc1f33eb3ecc2eca8c5f63c0,262,679837554,8747a5af-4f3c-4efe-a36e-3fb9f4c68757,ad5b3e788d94ae8f55c808c9d531b5531f76f7c1690d4e94cd284b0035e97b02,verified_by_sha256,,633426,Myrmecia desertorum,
out_of_scope_ant,calibration_v2,reused,Camponotus habereri,camponotus-habereri,706552,,c6976116-54ce-4068-9e1a-a9485b5e4821,679863799,https://inaturalist-open-data.s3.amazonaws.com/photos/679863799/square.jpg,b04ebeeec0c35e12a25bded067c87b8e85adcba782685877d4184aa633308f14,2026-06-16T04:45:15+08:00,cc-by,"(c) 林正文, some rights reserved (CC BY)",23.0811368564,121.1757636059,calibration_v1_reuse,calibration_v1,83a80351f8ac65e89ea6124ac7de6d2cb6a3c68efc1f33eb3ecc2eca8c5f63c0,263,679863799,c6976116-54ce-4068-9e1a-a9485b5e4821,b04ebeeec0c35e12a25bded067c87b8e85adcba782685877d4184aa633308f14,verified_by_sha256,,706552,Camponotus habereri,
out_of_scope_ant,calibration_v2,reused,Camponotus parius,camponotus-parius,367827,,0c55df41-013e-4abb-a2b3-b492f4c1a32c,679878331,https://inaturalist-open-data.s3.amazonaws.com/photos/679878331/square.jpg,4d3235c6b463032d8bba416e902362cd4b59a424aa12256df3e0c19275b54655,2026-06-16T02:21:11+05:30,cc-by-nc,"(c) Hari, some rights reserved (CC BY-NC)",8.8954833333,76.5638444444,calibration_v1_reuse,calibration_v1,83a80351f8ac65e89ea6124ac7de6d2cb6a3c68efc1f33eb3ecc2eca8c5f63c0,264,679878331,0c55df41-013e-4abb-a2b3-b492f4c1a32c,4d3235c6b463032d8bba416e902362cd4b59a424aa12256df3e0c19275b54655,verified_by_sha256,,367827,Camponotus parius,
out_of_scope_ant,calibration_v2,reused,Formica japonica,formica-japonica,322421,,eb7a3e31-127f-47b8-ab98-445290ef6020,679893106,https://inaturalist-open-data.s3.amazonaws.com/photos/679893106/square.jpg,7dae4179e2596712df8730a203df39f2cc394c72ed8b6be636d76d166a98f7b1,2026-06-16T06:16:25+09:00,cc-by-nc,"(c) tama_king_fisher, some rights reserved (CC BY-NC)",35.6386219,139.4370129,calibration_v1_reuse,calibration_v1,83a80351f8ac65e89ea6124ac7de6d2cb6a3c68efc1f33eb3ecc2eca8c5f63c0,265,679893106,eb7a3e31-127f-47b8-ab98-445290ef6020,7dae4179e2596712df8730a203df39f2cc394c72ed8b6be636d76d166a98f7b1,verified_by_sha256,,322421,Formica japonica,
out_of_scope_ant,calibration_v2,reused,Camponotus japonicus,camponotus-japonicus,321673,,2fc9f062-1bfd-4473-9e42-8eff47fbb4f7,679895134,https://inaturalist-open-data.s3.amazonaws.com/photos/679895134/square.jpg,ceb32b6c475160b97379f44991812c542018944ff6d2b43ae72859adac7d0eaa,2026-06-16T06:21:32+09:00,cc-by-nc,"(c) tama_king_fisher, some rights reserved (CC BY-NC)",35.63859355,139.43690375,calibration_v1_reuse,calibration_v1,83a80351f8ac65e89ea6124ac7de6d2cb6a3c68efc1f33eb3ecc2eca8c5f63c0,266,679895134,2fc9f062-1bfd-4473-9e42-8eff47fbb4f7,ceb32b6c475160b97379f44991812c542018944ff6d2b43ae72859adac7d0eaa,verified_by_sha256,,321673,Camponotus japonicus,
